origin,destination,driving_distance,from_center,to_center
"Stenglinstrasse 2, AUGSBURG","Auenbruggerplatz 29, GRAZ",473.038,GAUTP,AGATP
"Stenglinstrasse 2, AUGSBURG","De Pintelaan 185, GENT",724.819,GAUTP,BGETP
"Stenglinstrasse 2, AUGSBURG","Stenglinstrasse 2, AUGSBURG",0,GAUTP,GAUTP
"Stenglinstrasse 2, AUGSBURG","Hufelandstrasse 55, ESSEN",571.915,GAUTP,GESTP
"Stenglinstrasse 2, AUGSBURG","Kirrberger Strasse Geb. 41, HOMBURG/SAAR",336.539,GAUTP,GHSTP
"Stenglinstrasse 2, AUGSBURG","Ismaningerstr. 22, MUENCHEN",85.027,GAUTP,GMHTP
"Stenglinstrasse 2, AUGSBURG","Walter-Koehn-str. 1A, Leipzig",416.508,GAUTP,GOSOR
"Stenglinstrasse 2, AUGSBURG","Karolina ut 19-21., Budapest",720.393,GAUTP,HUNOR
"Stenglinstrasse 2, AUGSBURG","Postbus 2060, ROTTERDAM",780.015,GAUTP,NRSTP
"Stenglinstrasse 2, AUGSBURG","Anichstrasse 35, INNSBRUCK",181.445,GAUTP,AIBTP
"Stenglinstrasse 2, AUGSBURG","10, Avenue Hippocrate, Brussels",661.644,GAUTP,BLATP
"Stenglinstrasse 2, AUGSBURG","Universitaetsklinik, BOCHUM",586.477,GAUTP,GBBTP
"Stenglinstrasse 2, AUGSBURG","Pacelli Allee 4, FULDA",336.539,GAUTP,GFDTP
"Stenglinstrasse 2, AUGSBURG","Lessingstrasse 1, JENA",356.329,GAUTP,GJETP
"Stenglinstrasse 2, AUGSBURG","Haifa-Allee 2, Mainz",356.919,GAUTP,GMIOR
"Stenglinstrasse 2, AUGSBURG","Organisationsburo, REGENSBURG",151.305,GAUTP,GRBTP
"Stenglinstrasse 2, AUGSBURG","4 Rue Barble, LUXEMBOURG",459.146,GAUTP,LLXTP
"Stenglinstrasse 2, AUGSBURG","Heidelberglaan 100, UTRECHT",729.843,GAUTP,NUTTP
"Stenglinstrasse 2, AUGSBURG","St. Veiterstrasse 47, KLAGENFURT/KAERNTEN",434.2,GAUTP,AKTTP
"Stenglinstrasse 2, AUGSBURG","Herestraat 49, LEUVEN",662.221,GAUTP,BLETP
"Stenglinstrasse 2, AUGSBURG","Herestraat 49, LEUVEN",662.221,GAUTP,BLMTP
"Stenglinstrasse 2, AUGSBURG","Campus Virchow-Klinikum, BERLIN",565.663,GAUTP,GBCTP
"Stenglinstrasse 2, AUGSBURG","Universitaetsklinik, Haus 33 A, FRANKFURT/MAIN",352.386,GAUTP,GFMTP
"Stenglinstrasse 2, AUGSBURG","Arnold-Heller-Strasse 3, KIEL",835.696,GAUTP,GKITP
"Stenglinstrasse 2, AUGSBURG","Marchioninistr. 15, Munich",72.124,GAUTP,GMLTP
"Stenglinstrasse 2, AUGSBURG","Ernst-Heydemann-Strasse 8, ROSTOCK",759.091,GAUTP,GROTP
"Stenglinstrasse 2, AUGSBURG","Meibergdreef 9, Amsterdam",758.171,GAUTP,NAETP
"Stenglinstrasse 2, AUGSBURG","Zaloska 7, LJUBLJANA",500.137,GAUTP,SLOTP
"Stenglinstrasse 2, AUGSBURG","Fadingerstrasse 1, LINZ",310.406,GAUTP,AOETP
"Stenglinstrasse 2, AUGSBURG","Avenue de l Hopital, LIEGE",588.129,GAUTP,BLGTP
"Stenglinstrasse 2, AUGSBURG","Hindenburgdamm 30, Berlin",556.718,GAUTP,GBETP
"Stenglinstrasse 2, AUGSBURG","Hugstetterstrasse 55, FREIBURG IM BREISGAU",346.231,GAUTP,GFRTP
"Stenglinstrasse 2, AUGSBURG","Joseph  Stelzmannstrasse 9, KOELN",517.715,GAUTP,GKKTP
"Stenglinstrasse 2, AUGSBURG","Albert Schweitzerstrasse 33, MUENSTER",635.809,GAUTP,GMNTP
"Stenglinstrasse 2, AUGSBURG","Transplantationszentrum, STUTTGART",156.312,GAUTP,GSTTP
"Stenglinstrasse 2, AUGSBURG","De Boelelaan 1117, AMSTERDAM",766.643,GAUTP,NAVTP
"Stenglinstrasse 2, AUGSBURG","Krankenhausstrasse 9, LINZ",311.569,GAUTP,AOLTP
"Stenglinstrasse 2, AUGSBURG","Ksaver 200a, Zagreb",635.091,GAUTP,CHROR
"Stenglinstrasse 2, AUGSBURG","St. Juergenstrasse, BREMEN",707.722,GAUTP,GBMTP
"Stenglinstrasse 2, AUGSBURG","Klinikstrasse 36, GIESSEN",409.885,GAUTP,GGITP
